Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F877A -DL -O11111114 -fo8 -N"C:\Users\Renan\Desktop\Exercicios Curso Visual C\Programas em Pic\Capitulo 9\Capitulo 9.mcppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\Users\Renan\Desktop\Exercicios Curso Visual C\Programas em Pic\Capitulo 9\" "Capitulo 9.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_C.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
diagnostics: 0	125	All files Preprocessed in 47 ms	 
diagnostics: 0	121	Compilation Started	Capitulo 9.c
warning: 10	1509	Generated baud rate is 9615 bps (error = 0.16 percent)	Capitulo 9.c
hint: 5	1158	Variable 'uart' has been declared, but not used	Capitulo 9.c
diagnostics: 33	122	Compiled Successfully	Capitulo 9.c
diagnostics: 0	126	All files Compiled in 109 ms	 
hint: 0	1140	Used RAM (bytes): 25 (7%)  Free RAM (bytes): 327 (93%)	Used RAM (bytes): 25 (7%)  Free RAM (bytes): 327 (93%)
hint: 0	1140	Used ROM (program words): 373 (5%)  Free ROM (program words): 7819 (95%)	Used ROM (program words): 373 (5%)  Free ROM (program words): 7819 (95%)
diagnostics: 0	124	Project Linked Successfully	Capitulo 9.mcppi
diagnostics: 0	127	Linked in 936 ms	 
diagnostics: 0	128	Project 'Capitulo 9.mcppi' completed: 1732 ms	 
diagnostics: 0	103	Finished successfully: 13 ago 2015, 13:27:39	Capitulo 9.mcppi
